"","X","rep","processing","sweetener","tiempo","compound","concentration","Temp"
"241","ST1_rep2","rep2","1","ST",46.001,"Delphinidin.3.5.O.diglucoside",2.98,4
"242","ST2_rep2","rep2","2","ST",46.001,"Delphinidin.3.5.O.diglucoside",1.56,20
"243","STP_rep2","rep2","P","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.97,4
"244","SU1_rep2","rep2","1","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.5,20
"245","SU2_rep2","rep2","2","SU",46.001,"Delphinidin.3.5.O.diglucoside",2.67,4
"246","SUP_rep2","rep2","P","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.35,20
"247","ST1_rep3","rep3","1","ST",46.001,"Delphinidin.3.5.O.diglucoside",2.98,4
"248","ST2_rep3","rep3","2","ST",46.001,"Delphinidin.3.5.O.diglucoside",1.59,20
"249","STP_rep3","rep3","P","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.64,4
"250","SU1_rep3","rep3","1","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.49,20
"251","SU2_rep3","rep3","2","SU",46.001,"Delphinidin.3.5.O.diglucoside",2.8,4
"252","SUP_rep3","rep3","P","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.34,20
"253","ST1_rep1","rep1","1","ST",61.001,"Delphinidin.3.5.O.diglucoside",2.68,4
